Audio Path,Type of Current
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132548_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132741_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_55.wav,DC
